text,label
仰望集团,2
散打哥记录生活,1
星之耀百货外贸,2
海洋日记,0
妮彩诗轻奢女鞋,1
SMILEY,0
隅田川咖啡旗舰店,2
灵起零食专营店,2
Disney迪士尼联众专卖店,2
张总严选,2
baima翔和手表专卖店,2
HEAVY TRUCK,0
爱历史,1
南瓜二姐,2
彭冠英,1
小鹏的日记,1
lucky,1
ZRAU,0
CIXIAOCI,0
仲维嘉ip号,1
小酥酥🔥,1
大爽美妆4号店,2
坚子石精品店,2
奉盐,0
MULONGNOBLES,0
葫芦电影,1
东莞阳光网,1
韵雯轻奢眼镜,2
WareToGo,1
昊雨果蔬生鲜专营店,2
法伯雷,0
伟龙始于1993,0
wakeweek,0
乔乐思密达,1
减约～宇心爱减脂,1
邦亚集团,2
宋潇·美颂集团董事长,1
菜冰冰,1
九锦小铺,2
贝比玛玛,0
雪丘岛,0
木辛斋,0
强哥工厂店1号,2
骆十一,1
骚凡,1
中国首都网,1
海阔天空🌞🌙⭐️,1
兔哥笔记,1
凯诗尔,0
观娄底,1
鞋夫人企业店,2
柏燊剧场,1
喜朗顿,0
爱玩少女Tiki,1
广西深诚食品科技有限公司,2
大汉之家,0
万母,0
智慧谋略,1
单车就路,1
朱国勇生意经,1
李景亮,1
给你一个家家具工厂店,2
师傅王永《西游记组合团队》,1
姐姐小跟班&橙宝,1
思维小锦囊,1
狼迹,0
昕蔓义乌市巧馨电子商务有限公司餐饮具专卖店,2
霞湖世家精选店,2
惠人,0
多啦c梦、☁️,1
得酷坨坨猫宠物专卖店,2
SEANLEE,0
淳诚企业店,2
美奈儿,1
IAWARMAIDING,0
原森太厨房日用旗舰店,2
独角犀,0
王奕本人,1
哆咪熊童装,2
欧琪美妆店,2
LOGO设计·印象,1
当涂县新萍百货店,2
初贝宠宠物食品旗舰店,2
圣梵诗香水3号,2
科美吉,0
萱哥家,0
小可艾阿嬷,0
impt魔法少女,1
橙掌门生鲜旗舰店,2
Nuskin,0
SPYDER,0
福建之声,1
qwe官方旗舰店,2
收纳用品清仓号,1
悦哥.,1
三喜家服饰,1
衣流,0
丹洋工厂店,1
一只汤圆吖,1
玲玲ALin,1
NOBLETOUCH,0
徐子恒（考研数学),1
博至美官方旗舰店,2
几米森林,0
松匠抖你健康电器专卖店,2
孔龙家纺旗舰店,1
老蔡说房,1
列娜,1
任菲儿,1
糖豆儿童服饰,2
王贰浪,1
倩倩农家园,1
皆无忧的小店个体店,2
Yoshopo,0
弘硕严选,2
欣念食品小店,2
知心萌萌说,1
墨雅,0
RR,0
青春光线,1
蒂娜TRI,1
直男7,1
JIZE,0
乔乔.,1
瑜伽猴宝❤️智能瑜伽机器人厂家,1
小金果妈妈,1
林闪闪,1
十三奕轻奢女装,1
夏羽墨,1
巢么,0
小虎子,0
麦小兜和钱贝,1
跑山阿红,1
猫人优选母婴服饰旗舰店,2
复杂服饰旗舰店,1
甜心789,1
艾米、,1
榜一辣哥,1
走岚沧图书专卖店,2
安鑫好物六号店,2
易隆文具商行,2
阿洋严选,2
暮羽洗脸巾工厂店,2
敏哥哥,1
佐慕帝尊,0
艾妮时尚穿衣搭配会所,1
轻车熟路,1
灯小炮,0
越哥说电影,1
Biky梁壁荧,1
思菲其,0
我和爸爸日常生活,1
Alpicool,0
jiakemei家可美家居清洁旗舰店,2
郭小杰（正人君子）,1
辣妈家居,1
李雨薇的店,2
江南汇图书专营店,2
食神,1
萍悦服饰,2
潮汕小人物🍻⁹²¹,1
Baseus倍思,1
幺嫂,1
MengMeiYang,0
严选未央专营店,2
JIANSU,0
大王短剧场,1
Bassens,0
爱侬好物百货,1
TIFA陈梓童,1
禅生缘,1
皆顺,2
圈内小芒,1
中青雄狮,0
DONBLE,0
壁画师·橙子🍊,1
烨岚,1
老芦浮漂,2
蔻丝,0
军哥的杂谈,1
杰哥百货小店i,2
颂希尔官方旗舰店,2
纪施曼,0
大兴📷,1
公仔,0
沐尚佳饰,0
MIBOI,0
GR叮当,1
DIGODIGO,0
薇岚迪好物个体店,2
一九珠宝,2
小石头头头头头头,1
高氏白云珠宝,1
捷博,0
逸飞潮玩手办,2
花韵花艺店,1
LIANGTAITAI,0
幺妹儿,1
金谷味食品,2
惊人院,1
贝儿,1
芝香渊,0
维吉熊,0
心旅💕,1
Zz心心子,1
岳麓禁毒,1
石药,0
腊梅姐姐,1
danzong444,1
小精灵贸易店,2
江苏交通,1
健乐多官方旗舰店,2
Wuli郑在稿,1
主持人瑶淼,1
五月妈和院儿里的小流浪们,1
Mask Family,0
宁波海曙昕韩服装工作室,2
慧慧🍼丫头,1
梅子酱财经,1
北京兴青红菊商店,2
新哥聊聊车,1
飞氧,0
宇晗百货,2
曲茹好物,2
MegaRed脉拓海外旗舰店,2
晚枫的店,2
俊翼,1
耿微芸,1
孙二娘·时间碎片,1
大桂圆旅行记,1
xiangzhibao,0
老贝_Bay,1
新华国茶｜SUNWAH TEA,1
钟爱老表,1
七总  美好的一天,1
泡面先生,1
古中,2
惠农神星食品旗舰店,2
D先森的小店,2
小酒🍷,1
梦莎家纺,2
富娜,1
樱桃与小丸子🍒🍡,1
haoqiao,0
圆脸毛线苞,1
续写,0
ecoco,0
民功夫,0
聪明豆童装2店,2
NANZIRAN,0
竞舟新闻,1
滋味驿站食品店,2
义初供应链1号店,2
尼莫灵魂香舍,1
小傻哥,1
刘师傅,0
合肥论坛,1
跑酷拉面,1
妍菲 妍苗,1
一宸妈妈,1
huanglaowu,0
LANGCHEN南风绿植,1
安驾者,0
娱塘爆料酱,1
郭一只,1
雁荡菲,0
HUALISHANGYAN,0
百优护肤精选,2
韩密金美官方旗舰店,2
baiyu089,1
FOTELAIZHUANGUI,0
UZIS,0
成都AG超玩会.钟意,1
王雪纯,1
花丘官方旗舰店,2
Swo索索,1
屈臣氏,0
Nice You工作室,1
哥戈视界,1
兔小呗日韩童品,1
1894416122：王大容〈巴野山人）,1
尚润供应链,2
酷森数码商行,2
狗哥杰克苏,1
优町企业店,2
陈姐姐严选,2
梦若蕾,0
方块零零幺,1
芭菲龙童鞋旗舰店,2
优调家居用品旗舰店,2
旗帜,0
八千步食品旗舰店,2
思溜发,0
卫道,0
广州市花都区狮岭立丰皮具商行的小店,2
快乐鱼音乐,1
广玉小店,2
桂林,0
罗妈农副产品,1
吃惑家的小店,2
龙崎Ryuzaki,1
郑义永远在路上,1
杨纯真left,1
丝威,0
刘星星,1
玉乡思,0
黑大,0
小龙同学和赵老师,1
中医心血管朱建贵教授,1
小高姐的魔法调料,1
哈罗小黄鸭商行,2
梧桐哲黎个体店,2
橘子樱桃,0
DESPICABLE ME MINION MADE,0
鲜香搭档,0
罗蒙永凯服饰专卖店,2
时光佳器茶器紫砂甄选,2
果冻超好吃,1
miss left,0
Baby De Mode,0
墨小仟,1
天翔板面（12月1号刘井品牌粉丝专场）,1
男人的快乐老丁,1
SHENJIU隆成专卖店,2
配耐数码旗舰店,2
冷爱,1
小跟班555,1
乐奈官方旗舰店,2
大浩,1
朴语树,0
五常阔田米业,2
高端大衣工厂店,1
柠檬穿搭童装,2
Q.L男装旗舰店,2
工程老全,1
青衫学长（图解数学）,1
肖瑶_（月子版）,1
小鱼呆呆脑,1
十三余,0
大静姐,1
洛洛很大方,1
拾物玩意,1
missying精选店,2
君乐宝润下乳品专卖店,2
慧新,0
歪歪鲸数码旗舰店,2
NZ追剧,1
木易,1
财经别老师,1
喜洲电子商务商行,2
阿NO阿NO,1
FABOLAN,0
网绿小画家（努力奋斗版）,1
逸明在野,1
涵儿家服装,2
任不苦,1
HSM,0
重生美迷,1
美食作家王刚,1
qiduoernvxie,1
BAIRBAOLIY,0
鹃城牌,0
乐町官方旗舰店,2
雪丽限量版,1
糖糖_蓝歆颜,1
TOMIC,0
WANLI BUTTERFLY,0
芸琪简笔画,1
梁一,1
LADYOU华奢护肤专卖店,2
牛永福,0
云南和润纸业生活用纸厂家,1
双福数控刀具世界,2
辣辣子沁,1
仙女雅leeya,1
燕知春,2
新闻全纪实,1
锅盖哒,1
叫我培培呀_,1
王世贵,0
Winnie文,1
Veet,0
osage,0
中国青年出版社,0
泽亿康,0
HIKMICRO,0
小意丝,1
物生物官方旗舰店,1
小鱼不吃兔子,1
沐涧山,0
丹姐优选工厂店,2
RENRENAI,0
孟垣陶瓷餐具总店,2
抖味食品,2
舒舒Shirley,1
瓷萱旗袍,1
小铂哥,1
添果总仓鹿拉国际,1
风雅宫,0
渔具城,2
琳达在美国,1
佳丽多肉园艺,2
康华兰家文化,1
小鱼儿⁵²¹⁸(姜涛),1
李总（铁建工程）,1
棠克,0
凯绚软白金家居旗舰店,1
悦儿爱运动,1
caizhi,0
情感语录好物❤️,1
小星爱上你,2
MABAOLONG,0
ROBKOO,0
龚凯杰,1
杨舒予YsY,1
爱农帮玉米频道,1
58岁不老女神,1
宝得适,0
YZ小钊（萝卜头）,1
汉堡国国王,1
贝贝酱,2
四月姐💋,1
小志短剧,1
湘妹子特产店,2
尘丹童鞋专营店,2
夏同学,1
百年美阳食品旗舰店,2
天诗府✨,1
YISILIU,0
皇冠床上用品,2
NNASSA轻奢定制,2
浪漫花语家居生活旗舰店,2
ANRUIW7,0
老杨（国服嫦娥）,1
平妹,1
贵人鸟体育官方旗舰店,1
小笨,2
沙漠之星网络专营店,2
万吉花,0
LYNEE官方旗舰店,2
海洋农夫朱伟,1
慕普盾,0
薛云飞,1
JIDE德仔老师,1
即墨区云水谣服饰工作室的小店,2
雅诗美服饰店,2
威艾劈,1
往乾飞,1
SOUNSO,0
樱桃妹SweetPie,1
我是农村戏曲姐,1
中医周立华教授,1
胖梨阿姨的小店,2
杀手公开课,1
影视圈扒姐,1
唠点历史,1
福之尚品,0
努努美妆店,2
居莉叶yee,1
万魔,0
一尘仙,1
滇象茶业,2
阿孔特,0
芝麻开门童装,2
百勒维,0
佳淘好物优选,2
sirain,0
La Chapelle Sport纯派专卖店,2
QINGPINGGUO,0
黄微倪Vini店播账号（黄景贤）,1
Xxyy9612,1
伊斯特严选,2
哆哆鼠,0
IQGD服饰旗舰店,2
北溟鱼,0
大侦探,1
玄武书院,2
TJE官方旗舰店,2
池骋知道吗（92期训练营）,1
呆萌兔婴幼服饰（咪兔贝鼻）,1
南 雅,1
茗大叔,0
济南生活频道,1
小凤仙轻运动旗舰店,2
长沙发布,1
益哥,1
茵曼官方旗舰店,1
樱花办公用品,0
VERSACE JEANS COUTURE,0
肥叔,0
茵浪INRA手表工厂店,2
华为智慧屏官方直播间,1
格利西,0
福禄生活娱乐卡券,2
金陵奇怪的烧饼,1
太平盛世,0
霓佳日化工厂店,2
乍甸,0
泰萌母婴,1
阜阳秦妮,1
山间智者,1
张秀秀,1
洪湖回忆,2
足韵足道会馆（田家店）,1
lzx168168168,1
皮卡斯PLUS,1
JOVISSE小店,2
舌尖上的厦门,1
祥燕,0
房岩小哥,1
大洋葱（不忘初心）,1
陈星诺,2
温州鹿城区燃点电子商务商行,2
湖-行万里,1
拼柑宝,0
釉色天元,2
杨娇娇🎤灵魂歌者,1
白云山和黄旗舰店,2
俊俊~,1
二平说,1
墨墨鸽鸽,1
九鸦DOKII,1
来电的小宁,1
一诺总裁华姐（第8代铂金钻石贵妇膏）,1
嘉顿,0
molly！,1
野游记,1
扬子晚报,1
孤岛飞雪彩绘艺术工作室孤岛飞雪艺术工作室,1
望尘莫及,1
净如琪工厂店,2
Asahi520CN,1
水感肌,0
天堂伞官方旗舰店,2
艾米可欧货女装,1
赫宜,1
篱笆岛小店,2
熊家社,0
嘉麻嘉辣,1
有深度,1
云顶王天师,1
山水情感,1
图乐童童装旗舰店,2
鸿运百货.,1
莫邪💕小野,1
抱起小熊就跑,1
冷冷精选小店,2
LANFACOCK,0
宏蕴优品,2
王者荣耀(小清兮),1
粤百家,2
chunban,0
偶爱你,0
健康中医,1
减重代谢手术喜哥,1
众合聚彩格物,2
启文轩,0
春江,0
wx282812328,1
甘源官方旗舰店,1
猿辅导,0
Show·Jie,0
佳帮手石榴专卖店,2
刘姨妈,0
茹莱精选,2
若肯化妆品专营店,2
复旦大学,1
子静  (三妹大姐),1
冰壳乐BING KE,2
春笑,0
彤依,0
新益号官方旗舰店,2
尘味伍哥,1
无敌小可爱之小美,1
芙罗拉（新晋准妈咪,1
厦门小饿魔,1
音符跳动好物,2
KEYT,0
天玺柿子小镇官方旗舰店,2
不捉老鼠的猫个体店,2
包包带你飞,1
易驹车载用品旗舰店,2
大狗叔叔,1
南孚智能设备旗舰店,2
中农湾,0
丑四姐家.王麻子,1
南通初梦家纺,2
苏绣世家,2
请叫我Le哥✨,1
诚成,0
JIANBA,0
塔牧骏,0
乐而思湘食品,2
Carey欧巴,1
粤一宝,0
祥子·,1
墨林园艺旗舰店,2
MARS*GEOME火星几何女鞋旗舰店,2
倔老汉,2
安陆市顺启百货商行,2
胖俗俗显瘦穿搭,2
扣宝,1
时光视界,1
wakawaka,0
清影大自然,1
金博仕,0
爱笑的颜儿,1
陆仙人12.2号广西涠洲岛之行,1
OUJIESHI欧洁仕口腔护理旗舰店,2
七舅脑爷,1
不愧是我,1
麦岩好物优选,2
吻之睫,0
独壹派,0
咖啡阿文,1
帕玫莱女装旗舰店,1
噶,1
花五岁呀（拆卡版）,1
瓜家人在洛杉矶,1
柴老板(批发各种方便面),1
深圳市宝安区雅蜜蒂化妆品厂,2
老婆大人量贩零食,1
纳豆,0
南极人星粟专卖店,2
旭旭说剧,1
焙之匠,0
桑旎_sunny,1
LeeCooper品牌店,2
铂美拉服饰,2
花初良,0
@皮皮大叔,1
杨有米🇨🇳🇨🇳🇨🇳,1
耀美纸品湿巾专营店,2
璇儿Angel🐬,1
张雪峰讲图书,1
海马爸比,0
小离同学,1
朗然日用百货,2
琪果diy饰品,2
呱唧娱乐君,1
吴越老银铺,0
MKK,0
甜欣Boya_,1
hero,2
甄欣鲜,2
深圳公安,1
植护个人护理旗舰店,2
刘二狗🐶,1
柳小宅家纺工厂店,2
万可良品,2
小瑶郭子🦋-,1
黄景说领导力,1
金闹闹diy,2
AEROBI ACTIVE,0
乔先生男装9店,2
夏可可,1
天才打野米饭,1
西米露吃遍上海,1
富贵呀✌,1
百态人间,1
兜仔记,0
小汪试车,1
我的世界伊叩,1
小溪食品店,2
春夏✨,1
牧童赐,0
爱轩饰品,2
langzhai,0
Flechazo箱包店,2
李花花百货.,1
刘大锅美食,1
牙牙的包裹,1
董嘉薪服饰,2
K一,2
小米粥短剧,1
小杰在旅途,1
宝妹🌻,1
瑶格电子商务,2
巴布豆童鞋优品店,2
墨小沫,1
DilSefromtheheart,0
东北盖大美,1
品乐(烟具),0
青芽严选,2
老管家家居生活旗舰店,2
刘晓燕民间小调！,1
梦仲瑶小店,2
止戈电影,1
家得福数码优选,1
初雪《本人仅此一个号》,1
锦州烧烤培训（晓波烧烤）,1
用户835986495,1
KATE PRO FREASURE,0
派派的儿子小赵儿,1
芊选好货,1
东方哥守艺人,1
汉欧男装,2
利仁,0
疯狂森林旗舰店,2
湘下客土特产,2
乔瑶瑶,1
天元宠物,0
楚联桥,0
大道隐定制文具店,2
TIA袁娅维,1
石堰,0
赛鲸,0
MAUI,0
陈诺Nano,1
小老虎的泰国行,1
木晟图书旗舰店,2
啊東学长,1
家家林百货,1
霞宇家居专营店,2
乌龙泉,0
飞车男孩—大飞,1
锦小娱,1
JGG,0
BOMING FOOD,0
生活大观察,1
小秘诀童装旗舰店,1
黛富妮,0
赵依依❤️,1
睡衣居家服,2
如意.,1
狄力,0
型麦优选,2
绿陇,0
有意思的潇哥哥（努力版）,1
八先生服饰,2
盖世英雄四,1
薛杨个人防护旗舰店,2
滕滕游记,1
爱人皇后女装旗舰店,1
阿海（团队收人）,1
领美和韵,0
东东下课玩手机,1
兰麦菓,0
松森狼服饰,1
钟无奇,1
CAMSPOOR,0
ZHENGLIANYING,0
健康快乐,1
龙垚专营店,1
曲洲老师画卡通,1
L嘉欣,1
雨涵妈咪❤️,1
大兄弟,1
怀旧音乐（车载优盘）,1
剑小厨美食,1
在下辉子,1
帝杰尔,0
去问明明,1
光和手感烘焙店,2
沃利严选,2
我是牙主任,1
红魔鬼,0
乐乐启蒙动画,1
女兵讲职场,1
衣人花内衣旗舰店,2
牧疆山,0
庆同内衣旗舰店,2
兵马俑导游金月,1
君君君远,1
陶阙一次性用品供应链,2
芭蒂熊饰品,2
思服服饰,2
1220.,1
篮球经典🎥,1
cherry2015520,1
燕子姐姐吖,1
诡枪,1
张笨仁,0
内卷之王优选,2
天地金樽,0
中国海关传媒,1
琦梁,0
合肥佳美百货小店,2
凤姐个体小店个体店,2
创客维客,2
阿道夫,0
简心家 专注高端品质,2
允儿聊车,1
爱马笛,0
童颜纪,0
zuolanzhe,0
沐舒润家纺店,2
杨水清,1
沈阳市沈北新区张舒雅服装商行,2
佳盈百货优选,2
玉总Lesley,1
佳厨小当家,0
🍓香🌹香❤️,1
植物椿,1
赵昭仪,1
云南朴树花园,1
盼翔小店,2
轻艺家居旗舰店,2
蛋挞小屁孩,1
才子,0
真刺激，下午1:20开播,1
释慧海,1
小鹿就酱,1
孝感市城区家喜百货店,2
葛奈斯,1
李金源（小头菜）,1
素趣,0
yarun2799,1
梅特德菲,0
声诚文具,2
暗区突围 东东,1
西安好生活,1
charnins,0
天目湖,0
领航说剧,1
菲同例外服饰,1
魏中咸,1
歌手🎙️马猛,1
妤陌,2
生活优享,1
菲十六宅家日记,1
小小爱编发,1
PPT演讲提升【反卷课堂】,1
小黑诸鸣,1
变色龙儿童DIY,2
郎鹤炎,1
董姐夫美食,1
小林家的美食,1
小梦哥,1
青蓝朵,0
雪帅手写,1
Nemo说科技,1
WENXUN,0
大漠解说动物世界,1
郴州消防,1
燕子记录俩娃日常,1
南瑶,1
Bilap,0
MICO米可个人护理旗舰店,2
︉︋︍︋︋︉︋蛋︍︋︋总,1
叮当游戏君,1
对待阿沁要认真,1
北京小谈酱,1
敖子逸,1
佳尼熊,0
卫岗官方旗舰店,2
周菁,1
摆货小天才,1
谷谷特产店,2
后来者居上,2
北京导游【冯少保】,1
晓燕姐姐💞,1
杨博士生鲜旗舰店,2
蛋解杂谈,1
刘老根-关婷娜,1
OULUOTU,0
淘气大叔,1
柯通百货,2
张殿成军情观察,1
东方韵,2
刘若男,0
小憨憨不太二,1
首席国哥（关注）,1
小鹿山货,2
卡其优,0
叶不凡（凡之队）,1
杨子江River（养生版）,1
作文素材驿站,1
善南赵二狗,1
教育硕士MeiJia,1
小土妹🎙️⁹⁹⁸¹,1
张鱼小玩子,1
卡诗顿,0
SHISEIDO,0
红印,0
隆泰优选,2
文熙_,1
🌸(蓝颜)💋,1
掌中禾零食旗舰店,2
GOODSEE古奢,2
榴莲酱,1
李春晓南阳,1
鹏飞VLOG,1
蜜桃妹妹🍑,1
OLAY身体护理旗舰店,1
顺创发,0
MINKUNGFU,0
梧桐本色,0
中医肿瘤专家钱心兰,1
泛猫,0
杭州一起创电子商务有限公司,2
源果甄选,2
山西老宅,1
